ConnectionsV1		#AEE446
feedback-wanted		#24DE1E
gh-discussions	A label used for bulk-migration of FRs/ERs to discussions	#CBE7C5
github_actions	Pull requests that update Github_actions code	#000000
go	Pull requests that update Go code	#16e2e2
good cross gops-fe	Share with a GOps Frontend dev on another focus	#B7CE0A
good first issue	Good for newcomers	#7057ff
hackathon-2022-08-highq	temp label for hackathon project	#83E5E3
hacktoberfest	https://hacktoberfest.com/	#152347
hacktoberfest-accepted		#6e76d3
help wanted		#bfe5bf
in progress		#ededed
internal	for issues made by grafanistas	#E38D41
interview-generated		#70A0ED
issues#6845		#08F01E
javascript	Pull requests that update Javascript code	#168700
kata:alert-rule-creation		#c195c2
kata:alerting-ease-of-use		#fb2b66
kata:alerting-fundamentals		#721F7E
kata:alerting-oncall-integration		#FE6B7C
kata:am-cross-replica-comm		#5ae620
kata:am_unify		#cc2de8
kata:grafana-alerting-insights		#7c1948
kata:grafana-core-dskit		#349190
kata:incident-insights		#1c844e
kata:incident_ga		#8e7907
kata:multi-tenant-ruler		#433ed8
kata:notification_errors		#005BC6
kata:simplify-alert-rule-routing		#E885E5
kata:slo-mvp		#79bfdc
kata:state-history		#18AE2F
kind/enhancement		#4e1b96
levitate breaking change	A label indicating a breaking change and assigned by Levitate.	#D93F0B
licensing		#B07100
migrate/status-closed	Temporary label that can be deleted after 2022 Nov if it is forgotten about	#2A5046
migrate/status-icebox	Temporary label that can be deleted after 2022 Nov	#11736D
migrate/status-in-progress	Temporary label that can be deleted after 2022 November	#bfdadc
migrate/status-in-review	Temporary label that can be deleted after 2022 Nov	#C5ED77
migrate/status-new-issues	Temporary label that can be deleted after 2022 Nov	#D878A7
migrate/status-product-backlog	Temporary label that can be deleted after 2022 Nov	#F58FA2
migrate/status-sprint-backlog	Temporary label that can be deleted after 2022 Nov	#12D84A
missing-labels		#ededed
mob session	Something solved during a mob session	#5AD3BA
mob-friendly	A good issue to be worked on by mob	#6744CD
needs investigation	for unconfirmed bugs. use type/bug for confirmed bugs, even if they "need" more investigating	#1d76db
needs more info	Issue needs more information, like query results, dashboard or panel json, grafana version etc	#1d76db
needs refinement	The issue is confirmed but it needs prioritising and a better definition of the criteria	#CA7F9F
needs research	for internal issues needing more research	#7A16F4
needs-design-doc	Non-trivial issue that needs a design doc.	#ac04f9
no stalebot	exempt from stalebot	#c5def5
no-backport	Skip backport of PR	#b60205
no-changelog	Skip including change in changelog/release notes	#b60205
no-swagger-generation	pull request would have no impact on swagger	#227C9C
not implemented		#fbca04
old backport v7.2.x	Mark PR to be automatically backported to v7.2.x	#d93f0b
old backport v7.3.x	Mark PR to be automatically backported to v7.3.x	#d93f0b
old backport v7.4.x	Mark PR for automatic backport to v7.4.x	#d93f0b
old backport v7.5.x	Mark PR for automatic backport to v7.5.x	#d93f0b
old backport v8.0.x	Mark PR for automatic backport to v8.0.x	#d93f0b
old backport v8.1.x	Mark PR for automatic backport to v8.1.x	#d93f0b
old backport v8.2.x	Mark PR for automatic backport to v8.2.x	#d93f0b
onboarding		#39ce86
os/mac		#adcbed
os/windows		#adcbed
panel/inspect		#c7def8
postmortem		#3D8232
pr/awaiting-info	Awaiting external input	#2fc4a4
pr/changes-needed		#eb6420
pr/cla-not-signed		#eb6420
pr/early-feedback	WIP state but looking for early feedback	#6919c4
pr/external	This PR is from external contributor	#2fc4a4
pr/needs-discussion	This PR needs a bigger discussion	#fbca04
pr/needs-manual-testing	Before merge some help with manual testing & verification is requested	#c8f20c
pr/needs-unit-tests	Unit tests are required before merge	#d12ba2
pr/ok-to-merge	Can be merged at will	#0e8a16
prio/awaiting-more-evidence	Lowest priority. Possibly useful, but not yet enough interest in it.	#fef2c0
prio/critical	Highest priority. Must be actively worked on as someone's top priority right now.	#e11d21
prio/customer-support		#335F09
prio/future	Used by the dashboards squad to prioritise their backlog	#AF51C9
prio/high	Must be staffed and worked on either currently, or very soon, ideally in time for the next release.	#eb6420
prio/low	It's a good idea, but not scheduled for any release	#a2f379
prio/medium	Important over the long term, but may not be staffed and/or may need multiple releases to complete.	#FBCA04
prio/planned	Used by the dashboards squad to prioritise their backlog	#EE16D1
prio/support-subscription		#d85fb2
prio/unscheduled		#f2a9e2
product-approved	Pull requests that are approved by product/managers and are allowed to be backported	#e99695
proposal: accepted		#C2E0C6
proposal: not pursuing		#CCCCCC
proposal: open		#C2E0C6
quality	Related to quality improvement.	#D93F0B
random-label		#CADDFA
stale	Issue with no recent activity	#0f5b70
state/ux-mockups-needed		#70deef
storage backend		#D766E2
swagger-generation	pull request would have introduce swagger change	#D69D0B
team/grafana-aws-datasources		#C2E0C6
team/grafana-dashboards	Dashboards squad	#3D1ED3
team/grafana-multitenancy		#F05F0D
team/grafana-sharing		#0E8A16
team/identity-access		#c2e0c6
team/operator-experience		#3AB5A7
timefix	needs additional review for tracking	#7278F0
timepicker	The time picker is used on explore & dashboards	#E687C0
triage/needs-confirmation	used for OSS triage rotation - reported issue needs to be reproduced	#C0EAE1
triage/pending		#FEF2C0
type/accessibility	Accessibility problem / enhancement	#dddddd
type/angular-2-react	Angular -> React migration	#dddddd
type/browser-compatibility	An issue with (usually) old browser	#0e8a16
type/bug		#d73a4a
type/build-packaging		#dddddd
type/chore		#dddddd
type/ci	Tasks related to Continuous Integration workflow	#dddddd
type/cleanup		#dddddd
type/codegen		#d4c5f9
type/community		#a3f7e0
type/debt	technical debt	#dddddd
type/design		#C290E5
type/designops		#99daef
type/discussion	Issue to start a discussion	#dddddd
type/docs		#dddddd
type/duplicate		#dddddd
type/e2e	Everything related to end-to-end tests	#bcb0f2
type/epic	Issue made of smaller issues	#860385
type/feature-request		#dddddd
type/feature-toggle-enable		#8ADFC0
type/feature-toggle-removal		#05DBC8
type/performance		#dddddd
type/poc		#f9d0c4
type/project	Issues related to improving guidelines and documentation relation to the Grafana project	#31d895
type/proposal		#dddddd
type/question		#dddddd
type/refactor		#dddddd
type/regression		#d73a4a
type/roadmap		#bfdadc
type/tech		#dddddd
type/ux		#dddddd
type/ux/cuj		#F65686
type/ux/research		#dddddd
type/works-as-intended		#c5def5
version/2		#f9debb
version/3	for issues related to version 3	#933417
version/4	for issues related to version 4	#f4909f
version/5	for issues related to version 5	#8610e8
version/6	for issues related to version 6	#3ac177
version/7	for issues related to version 7	#eff489
wcag/1.1.1	All non-text content that is presented to the user has a text alternative that serves the equivalent	#eeeeee
wcag/1.3.1	Info and relationships can be programmatically determined or are available in text.	#eeeeee
wcag/1.4.1	Color is not used as the only visual means of conveying information	#eeeeee
wcag/1.4.10	Content can be presented with no loss to info or functionality and without two-dimensional scroll	#eeeeee
wcag/1.4.11	UI and graphical objects have a color contrast ratio of at least 3:1	#eeeeee
wcag/1.4.3	Text has a contrast ratio of at least 4.5:1	#eeeeee
wcag/2.1.1	Keyboard accessible - All content is operable through a keyboard interface	#eeeeee
wcag/2.1.2	Keyboard focus can be moved away from a component if it can be received	#eeeeee
wcag/2.1.4	Keyboard character shortcuts use a modifier key and/or can be turned off/remapped	#eeeeee
wcag/2.4.3	Focus order preserves meaning and operability	#eeeeee
wcag/2.4.7	Keyboard focus indicator is visible	#eeeeee
wcag/2.5.3	UI components visual labels matches their name labels	#eeeeee
wcag/2.5.5	The size of the target for pointer inputs is at least 44 by 44 CSS pixels	#eeeeee
wcag/3.1.6	A mechanism is available for identifying specific pronunciation of words	#eeeeee
wcag/3.2.2	On input the 'context' for the user isn't changed without warning them.	#eeeeee
wcag/3.3.2	Labels or instructions are provided when content requires user input.	#eeeeee
wcag/4.1.1	HTML can be parsed correctly, no duplicate attributes, unique IDs	#eeeeee
wcag/4.1.2	UI components name and role can be programmatically determined.	#eeeeee
wcag2.2/2.4.11	Focus indicators are at least 2px thick and have a contrast of 3:1.	#C5DEF5
wontfix		#34c10d
🍐-programming	It's a good candidate for a pair programming session	#e6eb8b
